subject,is_mw,n,skip_rate,importance,zipf,length,surprisal
0,0,8431,0.601233542877476,-0.056098359005040344,0.26895768789280217,-0.30982078488776366,-0.19184792328665756
0,1,1402,0.3773181169757489,0.032240043133968666,0.39352384169487054,-0.4308524805280014,-0.2996178049822903
1,0,9259,0.5228426395939086,-0.037164445949786296,0.24509716826686634,-0.32334002165186104,-0.19845648279086092
1,1,1274,0.4764521193092622,0.05240707488101082,0.3251224470137255,-0.35674255129436927,-0.26736388002835376
2,0,10597,0.3559497971123903,-0.023392143381538943,0.4166414568111281,-0.43441184125171395,-0.30175162341692463
3,0,10192,0.47615777080062793,-0.008276133457572832,0.2630168690151631,-0.3063582338160924,-0.1985672557267596
3,1,456,0.32894736842105265,0.08383442265795216,0.31019607843137265,-0.37764705882352945,-0.24444444444444446
4,0,9568,0.5135869565217391,-0.01868585742672546,0.29562659085650056,-0.31999497502290797,-0.24047016874868454
4,1,491,0.2892057026476578,0.086323096170144,0.30305904193066713,-0.41599741716776306,-0.2881572930955647
5,0,10012,0.5169796244506593,-0.04195594638613287,0.34848422380830013,-0.37623066727774557,-0.2670375338920401
5,1,413,0.3050847457627119,-0.008019467949781589,0.44062828383385866,-0.5306675515734749,-0.30228112654517647
6,0,10243,0.49594845260177683,-0.001782024123800352,0.16615381858499534,-0.17869146912998457,-0.10920955615442218
6,1,407,0.2334152334152334,0.08697705802968958,0.3746963562753036,-0.2605263157894737,-0.38306870455557207
7,0,10471,0.36968770891032376,0.001889301175015401,0.21093836844288916,-0.25018243661100803,-0.1748082316540439
7,1,209,0.23444976076555024,0.027423469387755084,0.18724489795918364,-0.28048469387755104,-0.07347517730496456
8,0,10634,0.36054165883016737,0.044861494676117664,0.3861214290097885,-0.40614540182270087,-0.2979297086782875
9,0,9326,0.6088355136178426,0.004263193813611066,0.2568660569727419,-0.3031315947825711,-0.19680995855933414
9,1,915,0.3901639344262295,-0.0702087286527514,0.4399666676706524,-0.5099946788751343,-0.27277235906761443
10,0,10634,0.4325747602031221,-0.0432646885042729,0.3486566701733653,-0.40724650891325964,-0.2689679208580714
11,0,10286,0.43408516430099164,-0.09385922268928981,0.2810752203715434,-0.32841580461367725,-0.1908660467355645
11,1,245,0.39183673469387753,0.032718120805369066,0.4116331096196868,-0.4207214765100671,-0.3492163009404389
