stat,overlap
-0.016612274765510932,0.22310090250531542
-0.019079993995968277,0.2713825115068368
-0.021371517081584447,0.2377219818383475
-0.013163481288513459,0.21404185840273318
-0.04012526067020724,0.28532943252114884
0.0006906453458958476,0.2408163659138184
-0.025773919674123836,0.24206827472879286
-0.032041468398107315,0.253888021743087
-0.015230879357976037,0.2594655161135003
-0.026568391677313376,0.32510743125232294
-0.011652268686897702,0.2343593233729616
-0.018008728400253745,0.20941300221316367
-0.022161394394645085,0.19967344827000047
-0.015518260765654508,0.1913289707148288
-0.002679868423887467,0.2015050897948604
-0.01412973264620697,0.22199137678618125
-0.04185212465016462,0.20154833258532823
-0.03227554977901367,0.21668530718625179
-0.024887427069426735,0.2440361222174647
-0.017318215182060236,0.16576690161326157
-0.01787431315821754,0.1444214461663676
-0.021054023510742318,0.2810860406311807
-0.014827676306844308,0.3023895718924123
-0.022937497546522075,0.22204535219104313
-0.02120486695731821,0.2636486888401121
-0.013285308843274028,0.16235098127212041
-0.008936682488261722,0.22317855930460376
-0.016547095306098564,0.2649259385081242
-0.0076339485196330594,0.19248705040067107
-0.014389372585705256,0.2832392519874945
-0.025687250382457134,0.2869844329736448
-0.008380149098514932,0.22800980863644077
-0.00892158983616272,0.24214171927170283
-0.032169912655576394,0.1852010985359698
-0.021556965557885797,0.19421324164112747
-0.021850621913943005,0.24955264714991343
-0.03256326525010491,0.23474098780683178
-0.02398589977623745,0.25962136770086625
-0.034381978140121235,0.1835409184971188
-0.04028226098259465,0.18216414724417918
-0.0320289860511919,0.3186367514785928
-0.008143665083961417,0.23699751047597417
-0.010962415940323796,0.2461420183755577
0.013750796008983898,0.24903062635285408
-0.00970591104235034,0.20618590669208026
-0.008108187726870017,0.1680459652474073
-0.01795037708730498,0.21888575605610014
-0.020177157570533382,0.18832489095123123
-0.009138236771312546,0.2599083048144934
-0.021146280327624355,0.31604024458908886
-0.0068910249433621305,0.19943923565084581
-0.03213661122038129,0.18980717866710264
-0.020369750102835555,0.2525185184194125
-0.0030122109367400856,0.2632853524650352
-0.019527644831457067,0.2914874768851189
-0.02156824395284555,0.18966552016585922
-0.016215572541426256,0.2251631293636612
-0.0164003832959568,0.200747016771248
-0.025738979187989897,0.2182300571419284
-0.007738301976034148,0.21489779852261634
-0.035837250283945445,0.29881911892718127
-0.006609467635668668,0.21521500361832088
-0.002553760477485449,0.17152960807966594
-0.019843262499443372,0.2258045471009763
-0.03758539901229147,0.2974371163563255
-0.04153903767775242,0.21580013495541997
-0.03756070504950376,0.30734859617754917
-0.0157737349727119,0.229984907880611
0.0002879252538148883,0.27275353940952035
-0.023753317474598384,0.15198687662957222
-0.0069589787912567,0.1919731201006418
-0.039013257256183,0.27989414950791974
-0.02931129790491425,0.278387051563907
-0.018216949314695374,0.2020843965524703
-0.040659734259736825,0.2275389870525583
-0.03479567639491828,0.25381825860820334
-0.03533314457529137,0.2798186898374916
-0.026918362717199378,0.2566125841426325
-0.018398622596216177,0.23139161809940717
-0.026330946199521414,0.24966259528008972
-0.023231254586013488,0.22186170120399237
-0.024213348308071963,0.2211761713254134
-0.01592811622734428,0.31081934208267237
-0.02628829479927766,0.2270643423298644
-0.03344470302931235,0.30241762690776186
-0.03874489021482024,0.29009126905700433
-0.02690336666086671,0.2196289429275023
-0.023414971303424334,0.24512580035042844
-0.02757755923272026,0.20357356379710442
-0.02889992305120657,0.27885778470831485
-0.013266468393931771,0.26471811531808326
-0.009025678596226066,0.21273936177513084
-0.00291424805493797,0.2177690439945369
-0.009952093940806627,0.2146653461328495
-0.009633575539441648,0.23362998641439794
-0.020980489727956516,0.2131213009785064
-0.04403665516245333,0.33190085851659595
0.004871860492797391,0.24622342859380492
-0.030234612263441683,0.26516399714502675
-0.02654481059439251,0.2800878620437118
-0.007788706422448726,0.15983621418688174
-0.007762807906698014,0.2671213868788239
-0.02383057610221859,0.23242696145934605
-0.04131046066498872,0.26381011231395035
-0.023041465396401867,0.21707168107873503
-0.010978556141687051,0.22229329557536662
-0.005248050287779054,0.23628661092572106
-0.028458233454921114,0.28629892476821195
-0.020386125797147353,0.24812382903434244
-0.007162192540131805,0.18299453329851667
-0.016086979368685424,0.2278340192636548
-0.021421172429769337,0.2601773710817975
-0.007868908846298981,0.2305338204582837
-0.04914866690938212,0.34399889382762033
-0.015878763342305428,0.2195183116627464
-0.020476759606955223,0.3065838055772583
-0.02647233573327843,0.27449589425494464
-0.017436909471158803,0.2576630618678204
-0.002545722600209583,0.14948983122590404
-0.030408085241592525,0.2343298081916595
-0.03460123719169571,0.24544728163491272
-0.018772160684026887,0.2272861853108129
-0.0015246499571059742,0.20806772237697804
-0.009557404687894502,0.16633134234157632
-0.02737751622771324,0.26086541877575153
-0.03171953410847496,0.32397134405329725
0.0003722285250808148,0.168331983070412
-0.020125614256874827,0.26619597458553246
-0.009066589737601057,0.24330552415142961
0.0030123033311822,0.1902660698519943
-0.03853359064082537,0.23192628841005547
-0.017371096319293226,0.23845361083656855
-0.03202664939111802,0.25880015444001453
-0.012545097493659639,0.1702322755658086
-0.03520561370928585,0.26460120847174395
-0.01397159352901231,0.2582580352186772
-0.022391465731672326,0.2402114133530342
-0.021279774315292745,0.2701077696140119
-0.030615363681375792,0.24910573434568714
-0.05218380236378897,0.2687614125059711
-0.023965054425561898,0.29243154298056023
-0.009590427119537845,0.2666543457983492
-0.034041520350603705,0.2327360950171202
-0.017538348890559646,0.2049073359545197
-0.010454094518895875,0.24535580063116236
0.003919235952802087,0.2956542654417744
-0.0036383908145634736,0.23040887975742091
-0.021340352938237595,0.24638035208566744
-0.027342711384736127,0.2137796695526095
-0.016859651097116093,0.17658322682548871
-0.020106052692945166,0.2461695169394314
-0.010159745428620318,0.17886945886911787
-0.03335409763752517,0.25742015058616907
-0.03299295426552866,0.19313736963856257
-0.02453608918598298,0.3487979602948441
-0.021881664735426593,0.2088781897525236
-0.004546136487864162,0.17408123383405602
-0.029475018756947434,0.22191393380573607
-0.002178387352731302,0.24806286482265974
-0.030638111523235742,0.19665962351043742
-0.03026463170720026,0.27866308516471405
-0.029205633231274657,0.2541879090184526
-0.0033766933365926527,0.23690635249544031
-0.011818459423962951,0.2167505282792564
-0.021496547647332366,0.27457110690226133
-0.027872700113136983,0.26784468648594467
-0.031077918084367037,0.28399139087814906
-0.03504695404575973,0.19806713645133073
-0.023662837143516968,0.22481463426485238
-0.03644638016660402,0.33019831848668807
-0.017560008187328845,0.29128897295701855
-0.025025293208312455,0.2604162830645672
-0.02934358988520298,0.2454495118134011
-0.01382040929560263,0.24126012764636978
-0.027493430938815684,0.2638705034287666
-0.026960146270616082,0.3297993765497872
-0.030747479175352158,0.3067867413878358
-0.026497169960891732,0.24174156771172636
-0.02048172709970766,0.26161645764936553
-0.011814861210051883,0.2695127411614059
-0.0369383859441874,0.23579195780654616
-0.035141916190645925,0.22271072089846083
-0.006287766563067298,0.25361998823489357
-0.018829912571725678,0.25328664505391685
-0.026770614810949545,0.17192363712927744
-0.015214400975445382,0.2455029549898441
-0.012878605315865453,0.24540673880219074
-0.032041371155858325,0.20186225772146327
-0.00434634687093751,0.21383994958966177
-0.019599205841289713,0.2854493261025507
