subject,slope
0,-0.0014666510748806904
1,0.007646357517920917
2,0.0037246089360066653
3,-0.009226553882315738
4,-0.007531952198905612
5,0.009660371435533811
6,0.01364960656791299
7,0.011299123446747342
8,-0.0011555850460464748
9,0.010047436615585615
10,0.0002812559097437476
11,-0.008293194711712122
12,-0.008619882486870258
13,-0.00010594758654842762
14,0.003597127064636884
15,0.01098296687849124
16,-0.0037761233408707497
17,-0.0031397959723831505
18,0.006919085708042434
19,0.005323426211682853
20,-0.0032720679895554094
21,-0.006814806629232839
22,-0.011300072688516792
23,0.004308999885555533
24,0.005804607814607717
25,-0.00396680979587081
26,0.005899571745717643
27,0.000981923998916363
28,0.0027784552253905252
29,-0.0010017304880412122
30,-0.004405908800816083
31,0.0006960072873657718
32,-0.0005104857875856913
33,-0.013224762651207585
34,-0.006698704504334682
35,-0.004995904240157571
36,0.004511028019309833
37,0.01165343090180551
38,-0.0010082629871017033
39,-0.01395995265818584
40,-0.008069579343722384
41,-0.00602016723515621
42,0.008709239993248245
43,-0.006953651516430326
