subject,slope
0,-0.005069438492993103
1,-0.002996928158269864
2,0.0044154381031232355
3,0.004781068377618554
4,-0.0029701861341013356
5,0.00765824289319902
6,-0.012527016070301945
7,-0.0026441382932487554
8,-0.0022756862113710442
9,0.0005703060073940805
10,0.010242350085338291
11,-0.0101036857636807
12,0.004387275727151681
13,-0.0006360216405869821
14,0.002609240173400839
15,-0.004345346071231047
16,-0.0015168489204845008
17,0.01774808738050809
18,-0.002396670661522349
19,0.006535291608152557
20,-0.009941199152195289
21,-0.0011596129740429936
22,0.0001201430085145183
23,-0.004522988706417717
24,-0.009687871959049906
25,-0.0014557791066748835
26,0.014511091715276153
27,-0.0023159084085826675
28,0.004504895320227213
29,-0.006493187238715887
30,0.006105612108098139
31,-0.0070559736500661625
32,0.0045075963140028905
33,0.006904183898754257
34,0.004519547072204111
35,-0.0024532796654784484
36,-0.01016161034605688
37,-0.010340494945270371
38,0.004607782813730826
39,0.008857228437184454
40,0.011968260295577682
41,-0.001611798652075215
42,-0.005311885273460222
43,0.006032779385757292
