subject,full,h0,h1
0,0.0023585694723627405,-0.009135379048484216,0.012534869611707487
1,0.020012274281849582,0.027528002137756667,-0.004120735663331936
2,0.02195772593443577,0.022683578153624654,0.00817157794372067
3,-0.014206213783105763,-0.014182455954802872,-0.01584218944303294
4,0.0035994407807801725,-0.014405273246744048,0.013626952170417756
5,0.020873956700694824,0.03406165852175079,0.012491631891955127
6,-0.012863316523690615,-0.00795937569233838,-0.004415794033877604
7,0.004056870945656498,-0.00018391778546311382,0.022288224846034287
8,-0.024884976972278493,-0.04370045753736302,-0.011771452647034403
9,0.01128518660860669,-0.011091352407541982,0.031182992970479252
10,0.007614951834172411,-0.0074849599522092206,0.01572730173161912
11,-0.0062690287369346585,-0.004765440922842083,0.00013426352710587566
12,0.012775261045139333,0.012508878970463811,0.0222402765557226
13,-0.008697785352241668,-0.026398624355383565,0.004393084367882471
14,0.004366485119232803,-0.0016565217504604355,0.010924772288404674
15,-0.0027956474363387044,-0.03606526919790219,0.010686393796794194
16,0.0018030098563300001,-0.01289237558953193,0.020360836866407137
17,0.01459104427702166,0.010789666498035116,0.013193168792965287
18,0.020344065446012364,0.007516628379892082,0.027979305836649176
19,0.0038442019999674003,-0.03505724280839963,0.019608334455668272
20,0.0035619705080699162,0.00016802866922266082,0.005068792299372696
21,0.015095605171521828,0.02235011342548332,0.007516200889914472
22,0.005514101711321102,0.0003640471287026371,0.009871256637207467
23,0.00980734815874424,0.022101609174101717,0.0072385957209529705
24,0.02168886316139195,0.03537080817220773,0.01680377063952432
25,-0.010936283704710573,-0.01958101050548873,-0.01319999647656296
26,0.016585521249521073,-0.020786413560219836,0.04428452843344775
27,0.007349121809444446,-0.01753390410362518,0.026900884971438964
28,0.012015538345960647,0.020590843433605698,-0.0028521889099778247
29,-0.011742013147228001,-0.038934727825032746,0.01526151298031058
30,0.014656958900781527,0.020944224822152278,0.004379517738195643
31,-7.335105636059434e-05,0.004044829148115995,-0.008895078943374638
32,-0.019443045525546754,-0.008517123938956907,-0.023375883049736524
33,0.05018567510349632,0.09313110387567813,-0.04528617093017742
34,0.010130501784851968,0.006842819082799397,0.025908267611830044
35,-0.0017023614604812195,-0.03095432157493614,0.02502811789528501
36,-0.013071343087168457,-0.016368530985549478,0.0011217238921774808
37,-0.005949310881250251,-0.007984985396127062,-0.00045579640972015246
38,0.0131979676115166,0.005836894342240737,0.008635099417794452
39,0.00988398363174228,0.011781750123549407,0.009903230969815982
40,0.008482244216611874,0.015926457825111835,-0.0034056732709505794
41,-0.011428365080398064,0.0001319235266291972,-0.037020281742324294
42,0.006586628844433444,0.0020190138707660136,0.016310721589735358
43,0.01641529299784973,0.03836621018479046,-0.00019708091606680518
