subject,full,h0,h1
0,0.003923175973256546,-0.012929603959164237,0.01610048830716046
1,0.02020982358220605,0.028632814445109987,0.0009536884310660651
2,0.020932850090547225,0.021837979691411085,0.008006462631120075
3,-0.006635644104830916,-0.024986402316297323,0.004433577838584961
4,0.002094893911104075,-0.006319653869756877,0.007329595448065431
5,0.006876969489912607,0.012334355450899077,0.0058441732034783585
6,0.008124736941338891,0.012691899227528301,0.017979821021035597
7,0.008261445411800804,0.018458420718468236,-0.00022168464319203066
8,-0.012594139937171511,-0.030063001624781545,0.00012407542617232786
9,0.014226293510607488,0.0015283931853485528,0.03147096962191204
10,0.0014693376160862554,-0.00034845204809091056,-0.0022577243223509823
11,-0.01036129209920678,-0.010264685523432413,-0.00531156368999275
12,-0.004059539942488585,-0.013347659147749926,0.01883555324536204
13,-0.004662936625200738,-0.02063608753319145,0.011231969902432228
14,0.009730732055643676,0.01835362515519723,-0.0014110735608457668
15,0.003860622649910139,-0.011078627679615708,0.008054126838388166
16,0.0062113769380971835,-0.0031600285784422113,0.013716079088063899
17,-0.0004354287086953373,-0.016267809895889482,0.01027418278812239
18,0.024859835281253576,0.012955454320854699,0.02382393619941305
19,-0.00643172718166109,-0.04950524132632949,0.01304825829003669
20,0.009700941035072467,0.012747145187186596,0.008641013646636376
21,0.02291847627212863,0.032963896757811,0.004961742667065478
22,0.008504208233173322,0.004671370257599153,0.011369438888330379
23,0.008113132958325038,0.0241446502653814,-0.0018982772877040727
24,0.02331624037875485,0.026804648337378306,0.019821874451698897
25,-0.0021122654906753193,-0.012353276971745509,-0.00124616655811568
26,-0.0059129259543167795,-0.023680226197323476,0.004755470613630013
27,0.005875224238478859,-0.014018754406337337,0.02228390319260775
28,0.011565894483446812,0.02858854794954292,-0.00458449762747609
29,-0.010349868034153357,-0.031549811464130384,0.002011821161636524
30,0.012368379406793802,0.017595944447107045,0.0006376880173234985
31,0.0112718673783749,0.008178799100935448,0.008492483353509826
32,-0.014402308644321916,-0.006217283376702947,-0.01941682426266681
33,0.041522688411273025,0.04867856317157906,0.0015095611218102906
34,0.0004601869711471054,-0.014756340121410992,0.019937865828489276
35,-0.0055752244493323475,-0.02468607402055815,0.008379347840200044
36,-0.014071629780337996,-0.00603183699553882,-0.006298995159705133
37,0.008761751008885661,-0.007905235230398211,0.02666531688268845
38,0.01121143138116984,0.013554991723531019,-0.001413813195037441
39,0.006893948628255484,0.010830827126765039,0.008621820458355902
40,0.0031971023673760678,0.01777878663587162,-0.009266014572851037
41,-0.011950832771990499,0.010756933008759389,-0.03632352047604137
42,0.012127813280925244,-0.0037479034331435747,0.022116966400875286
43,0.010827595973034905,0.022714623870668377,0.006317299307757651
