sub_id,n_trials,mw_rate_page,mw_frac_all,frac_trials_mw_on_answer,hit_rate_given_mw,acc,acc_when_mw_on_answer,acc_when_clean,within_reader_cost
s10121,43.0,0.18604651162790697,0.05804808664021554,0.13953488372093023,0.75,0.5348837209302325,0.3333333333333333,0.5675675675675675,0.23423423423423423
s10125,42.0,0.38095238095238093,0.13323850189874623,0.2619047619047619,0.6875,0.6904761904761905,0.36363636363636365,0.8064516129032258,0.4428152492668621
s10138,39.0,0.46153846153846156,0.1583058480675484,0.3076923076923077,0.6666666666666666,0.5897435897435898,0.3333333333333333,0.7037037037037037,0.3703703703703704
s10139,44.0,0.2727272727272727,0.07177269638825168,0.1590909090909091,0.5833333333333334,0.8181818181818182,0.42857142857142855,0.8918918918918919,0.46332046332046334
s10141,35.0,0.08571428571428572,0.011163666007227468,0.02857142857142857,0.3333333333333333,0.7142857142857143,,0.7352941176470589,
s10144,47.0,0.10638297872340426,0.009599907674248703,0.0425531914893617,0.4,0.7446808510638298,,0.7333333333333333,
s10145,35.0,0.6571428571428571,0.10412634207303695,0.22857142857142856,0.34782608695652173,0.7428571428571429,0.625,0.7777777777777778,0.1527777777777778
s10148,44.0,0.25,0.04596131922628685,0.06818181818181818,0.2727272727272727,0.6136363636363636,0.6666666666666666,0.6097560975609756,-0.05691056910569103
s10153,38.0,0.5263157894736842,0.17707246870747545,0.3157894736842105,0.6,0.47368421052631576,0.16666666666666666,0.6153846153846154,0.4487179487179488
s10156,37.0,0.5135135135135135,0.09672276908869087,0.21621621621621623,0.42105263157894735,0.7567567567567568,0.5,0.8275862068965517,0.3275862068965517
s10158,36.0,0.5555555555555556,0.14396487581953835,0.19444444444444445,0.35,0.6944444444444444,0.2857142857142857,0.7931034482758621,0.5073891625615764
s10159,30.0,0.6,0.10019020432872382,0.2,0.3333333333333333,0.6,0.16666666666666666,0.7083333333333334,0.5416666666666667
s10160,44.0,0.18181818181818182,0.03133940286864452,0.09090909090909091,0.5,0.7272727272727273,0.5,0.75,0.25
s10165,48.0,0.3541666666666667,0.15582901118372364,0.16666666666666666,0.47058823529411764,0.6666666666666666,0.25,0.75,0.5
s10173,47.0,0.06382978723404255,0.018916883605603296,0.02127659574468085,0.3333333333333333,0.40425531914893614,,0.41304347826086957,
s10177,44.0,0.4318181818181818,0.07030663405037553,0.22727272727272727,0.5263157894736842,0.7272727272727273,0.6,0.7647058823529411,0.16470588235294115
s10178,46.0,0.1956521739130435,0.02883574278665452,0.08695652173913043,0.4444444444444444,0.6956521739130435,0.75,0.6904761904761905,-0.059523809523809534
s10180,34.0,0.7352941176470589,0.27969363071938724,0.5882352941176471,0.8,0.5294117647058824,0.3,0.8571428571428571,0.5571428571428572
s10181,22.0,0.8636363636363636,0.15842376782409323,0.5454545454545454,0.631578947368421,0.2727272727272727,0.25,0.3,0.04999999999999999
s10183,45.0,0.26666666666666666,0.06338496096463367,0.13333333333333333,0.5,0.4888888888888889,0.3333333333333333,0.5128205128205128,0.17948717948717946
s10185,50.0,0.04,0.005928031895721581,0.02,0.5,0.84,,0.8571428571428571,
s10186,45.0,0.2222222222222222,0.05141996160844726,0.13333333333333333,0.6,0.7777777777777778,0.6666666666666666,0.7948717948717948,0.1282051282051282
s10188,46.0,0.391304347826087,0.04427154819388859,0.17391304347826086,0.4444444444444444,0.3695652173913043,0.0,0.4473684210526316,0.4473684210526316
s10192,40.0,0.675,0.21219123652096128,0.425,0.6296296296296297,0.625,0.5294117647058824,0.6956521739130435,0.1662404092071611
s10195,32.0,0.6875,0.11339181431305385,0.28125,0.4090909090909091,0.3125,0.2222222222222222,0.34782608695652173,0.12560386473429952
s10196,50.0,0.1,0.006237306166618506,0.04,0.4,0.8,,0.8125,
s10197,40.0,0.425,0.017729186440020944,0.2,0.47058823529411764,0.625,0.625,0.625,0.0
s10200,41.0,0.4878048780487805,0.05660574237705556,0.1951219512195122,0.4,0.7560975609756098,0.625,0.7878787878787878,0.16287878787878785
s10202,45.0,0.06666666666666667,0.015190093428643027,0.044444444444444446,0.6666666666666666,0.5555555555555556,,0.5813953488372093,
