subject,is_mw,n,importance,zipf,length,surprisal
0,0,8431,-0.002623303079868983,0.044470877777095394,-0.09765397446758875,-0.00486098648410798
0,1,1402,-0.00634123682776853,0.06097007661458912,-0.12805966769078142,-0.03642816079324938
1,0,9259,-0.015724386685030293,0.0175299599145305,-0.11822182679572418,-0.016155398251534548
1,1,1274,-0.001566760891030901,0.08148678320605231,-0.1038815580055839,-0.010042679357366151
2,0,10597,-0.008549881510821441,0.07250751434998645,-0.12362021321131743,-0.022390602151106206
3,0,10192,-0.00806280561131534,0.04763988436105684,-0.1061539209501258,-0.005449825771431924
3,1,456,-0.04879652090637004,0.04863036390002141,-0.10196522609411904,0.017784987632204912
4,0,9568,0.0014917916788518074,0.05046297363140716,-0.09860726808241708,-0.02512513344027204
4,1,491,0.014158074298047168,0.043260360103500255,-0.13596989906625023,0.015122538919616535
5,0,10012,0.0026225317137185673,0.060738059840435316,-0.1207166660279599,-0.02565973891349923
5,1,413,0.035604924045642555,0.057040856348337034,-0.1709850472386877,0.012155878164429933
6,0,10243,-0.014239065760170087,0.03221675787919082,-0.05087577581067116,-0.007834069459388554
6,1,407,0.021945617622994455,0.0791405771829055,-0.038378785910924,-0.011642681661065855
7,0,10471,0.003379383354171443,0.032787854896493086,-0.0746231228567039,-0.012804872853861738
8,0,10634,0.00648783772153631,0.06324191695673413,-0.11521679161387946,-0.028085686517299178
9,0,9326,0.011707516504894697,0.030889195354834833,-0.09821489236297865,-0.02305029906020531
9,1,915,-0.07245334552025567,0.08159997440482694,-0.17611471312791993,0.005747692293579476
10,0,10634,-0.01117536064065732,0.047489234750947365,-0.13162941964207778,-0.02622388483726811
11,0,10286,-0.02055884722145365,0.04638434613051928,-0.11345757294795694,-0.010843667482180774
12,0,9062,-0.021190337594235532,0.03430980017551487,-0.085265853963732,-0.010801871264115394
12,1,902,0.015167358691131437,0.04648338066077626,-0.10991783786340587,-0.004606929493555767
13,0,9046,0.008154268031433536,0.05647225046822556,-0.10438404937681912,-0.021811352059903245
13,1,782,0.005901333729666885,0.046831037153781105,-0.1317536485914662,-0.019585042908221106
14,0,9208,0.009852178206103308,0.060984452498085276,-0.10058199457611529,-0.012285125230335156
14,1,1422,-0.025090309814690615,0.03960885709343771,-0.11454875107766153,-0.008684396455960393
15,0,9794,0.02038903307933694,0.019271606163380688,-0.07865808811814083,-0.006817806497618174
15,1,435,-0.059445864628465656,0.01865179177337858,-0.08642277707918392,-0.04324208356622758
16,0,9019,0.0001808747662892373,0.06352232799111855,-0.10581529252471746,-0.01967682006000343
16,1,1278,0.03510729219624225,0.08782692461482151,-0.09706725147085568,-0.008403941788690819
17,0,9260,-0.007590347437500376,0.053535967471860575,-0.10442340066179394,-0.022489431636018693
17,1,863,0.0005706083886097348,0.07820164405593302,-0.14345093055068775,-0.014860176384349695
18,0,10017,-0.006047036875321722,0.05259056092901581,-0.11518012401623377,-0.01752484335135042
18,1,522,0.0674127641737869,0.08997948935470353,-0.10863732090592108,0.027614314322789345
19,0,8154,-0.00893195591593649,0.09371203701479747,-0.15260106652527122,-0.023517696264212174
20,0,10584,0.012011643118904349,0.08549310403531167,-0.10573846705696367,-0.011852710815508437
21,0,10105,-0.0090147845112605,0.062477860679252754,-0.07377081545872517,-0.021939665153628347
21,1,550,0.035861035850051744,0.07106634805286548,-0.12018795329073215,-0.0545578927468858
22,0,10087,-0.002711146400154827,0.05242106385800086,-0.10317805623758704,-0.027213544918016766
22,1,363,-0.030703860366621257,0.07693542161188269,-0.0703945371181962,0.00544344938621698
23,0,9196,-0.002134454674639457,0.022995355402104012,-0.09640887646788518,-0.009201644477114603
23,1,1010,0.049061223604998996,0.03622705319539174,-0.10077379871831897,-0.027562855588469274
24,0,9179,-0.010345576488297023,0.06871712754458063,-0.09630065893177286,-0.01031427898098958
24,1,735,-0.003399901062932715,0.05303723770987362,-0.12851927474794822,-0.016514252750421315
25,0,9530,0.007207060929938397,0.05489808284913384,-0.08260643804038399,-0.028411000024236223
25,1,790,-0.00948690378280969,0.08103839668518009,-0.11939525664929013,-0.029430777682270485
26,0,8796,0.010180755013265257,0.03626502793016896,-0.06911212470274232,-0.019888721058171684
26,1,868,0.07221080669675285,0.07117983878618755,-0.06218387118644375,-0.007592535682976553
27,0,10269,0.004239549084986774,0.05025661623853668,-0.1219301764232937,-0.017422735409600244
27,1,347,0.05167978533613245,0.09780053369170837,-0.08512581891134538,-0.02738997482436684
28,0,9170,-0.0015270635675385484,0.06389363247812331,-0.15903719114309206,-0.009701644975973972
28,1,1494,-0.014109823861615588,0.02836293684657525,-0.17600585156813828,-0.056537836664540014
29,0,10601,0.001947458868695507,0.03021629638510054,-0.12760199730442956,-0.00732515544821003
30,0,10060,0.004608793700071387,0.055217718628301195,-0.097955294766437,-0.01949085485741639
30,1,577,-0.07044040011607378,0.0988708831439865,-0.08646779784981591,-0.017945349247399392
31,0,10551,-0.003988216128525295,0.018268245464898535,-0.0688754096275193,-0.028202241395311738
32,0,7895,-0.004212042947382698,0.0195238007260952,-0.0517618967635004,-0.013318457064222642
32,1,2146,-0.03674210183316786,0.003098594585963065,-0.05438045825659926,-0.01073169459266154
33,0,9095,-0.0006808078738650071,0.035687819403916216,-0.04853970285531618,-0.007639827151993684
33,1,721,0.02031266331607463,0.05983024102932662,-0.09476686770204891,0.0026122268881736033
34,0,10101,-0.000364683942942227,0.05411138317030789,-0.08686715541145161,-0.007977025321306909
34,1,538,0.002772461443907721,0.00768433677366411,-0.12024518299952405,-0.020456750250995734
35,0,10822,0.004090764045339905,0.04892148365788671,-0.10332122365063767,-0.04671869067809384
36,0,10238,-0.006770335211990318,0.07036876741992157,-0.10605767859168942,-0.008736199072268344
36,1,314,0.07839187744887045,0.06580024598733969,-0.10348337703244687,0.005821309983502025
37,0,10446,0.00848988901287231,0.0471361952909195,-0.10797465508865883,-0.011872870410642705
38,0,8754,0.013022033381730481,0.026924957350868202,-0.07300997816377164,-0.014524029704938065
38,1,1013,-0.03909756192952983,0.04324839235295349,-0.0777338241638141,-0.021572011775411855
39,0,9633,0.0005329758458286447,0.030683376343399838,-0.07124729651388913,-0.005297603180310984
39,1,625,-0.014374421626820694,0.04537562754937381,-0.13376751038887966,-0.015125210597311827
40,0,10777,-0.00034807650571645326,0.06785290386970581,-0.14319587148139412,-0.02399837609411606
41,0,10252,-0.015500526592838794,0.040535926298659646,-0.09193295535673891,-0.014234832789087808
42,0,9869,-0.017233866311591906,0.058383829878147435,-0.08861947291893439,-0.0112804640486735
42,1,409,0.015601371871660394,0.07300166888177617,-0.12826203009161932,0.011540373014989804
43,0,10371,0.00013007195087076586,0.03731875333967196,-0.1365575184357055,-0.008396406176743003
43,1,301,-0.0887185258092791,0.031989225693504965,-0.10850941603410036,-0.014945659491244902
