subject,zipf_on,zipf_mw,surprisal_on,surprisal_mw,length_on,length_mw
0,-0.14086075990418867,-0.10378328716427321,0.12218676819186362,0.08874363780901887,0.14285644950712703,0.07378284993622208
1,-0.08856854788002125,-0.12076939453345373,0.08383476210001797,0.12691473105035056,0.11330154261281801,0.13824117708116723
2,-0.1604799483449574,-0.19677293022350872,0.17111909844534218,0.22135984709620374,0.16155954217858468,0.17730099072451946
3,-0.1176647034257822,-0.15187268670111892,0.10783910812462347,0.08952857931068399,0.1410419422233172,0.17883202603667864
4,-0.07555482487213128,-0.10857211113071927,0.10343097082731195,0.11596253308734117,0.0946908301311887,0.09580187056970686
5,-0.10738908743751956,-0.18081271018575645,0.12337669333612308,0.1593496945344031,0.11648883622956277,0.171550227589922
6,-0.1681599657410108,-0.2250736030714474,0.17444635588246724,0.1771029561730771,0.16945352125065108,0.12997742396983775
7,-0.1314692860474571,-0.08193746214339993,0.12736014726726708,0.048444178036875646,0.10838200673341247,0.13248769542685881
9,-0.08544784422210593,-0.15863539979127403,0.08063353229762242,0.13382848981634066,0.10662804291874532,0.14555384880388414
11,-0.1561493692557556,-0.2362207148215907,0.18164555757887227,0.18773142368711812,0.20180710419064862,0.13203085194718336
12,-0.10000976525046806,-0.1029933941944574,0.09431517409329612,0.0907237330025235,0.11372276507349383,0.12202737705063392
13,-0.1890859061139575,-0.19491891303070363,0.1663191643251864,0.15468134786524904,0.1852082149321194,0.21640791728665437
14,-0.15565374156855,-0.17952871755077218,0.15506496498751327,0.17427264957535407,0.19046969515236867,0.18998076056029004
15,-0.11735571998109813,-0.1478901813269876,0.11769392549350248,0.1397392345165813,0.09681568115659343,0.1210377866175351
16,-0.17659339373582697,-0.16806661239689846,0.18233548963674942,0.19566519784270922,0.19200537819398802,0.18618513049489008
17,-0.11705964130627149,-0.1508857917862221,0.13889955786595104,0.12658072179270619,0.14644090482044106,0.1637089772616685
18,-0.1524014212756288,-0.12729905553588855,0.13156839401383566,0.1684857466475656,0.1794974224182963,0.2109901929854351
19,-0.12073447452725884,-0.10360720617437609,0.12937360756536187,0.10261393808523216,0.12418688760675878,0.11574035524111828
20,-0.23118121479266726,-0.31179002769574565,0.221240617096825,0.29149540256939677,0.196245644344547,0.27183488435133923
21,-0.11008387081574336,-0.10205994578918837,0.09153051694866397,0.08247484276149143,0.0819431404627005,0.12328596007548187
22,-0.14803240309891721,-0.13765343849261416,0.14998756820738832,0.1233583793540497,0.17071710266801796,0.16598646220591332
23,-0.13839510864296542,-0.11085942177632649,0.13622810393099608,0.14088271204064148,0.155199345817561,0.1753429753208094
24,-0.1510629777414733,-0.2115315636427264,0.15014936803867227,0.15726307197877756,0.1656366531288242,0.23276346776756443
25,-0.14780578626551796,-0.13914682518939947,0.15354126443171234,0.11656180061009179,0.16396922911939796,0.13795082040546164
26,-0.15374463280520512,-0.21907743292789814,0.143413354371908,0.14869080903896018,0.15090575184802618,0.24071472125804344
27,-0.15746461889712798,-0.17378020561212584,0.1311982790762099,0.2021577615122062,0.15498369580462323,0.21037350164024768
28,-0.11764798747739642,-0.14627780810308674,0.11035415948637027,0.11456423025740332,0.11011759213417169,0.10771949517506074
30,-0.12995812944387214,-0.10668243185631687,0.11520991585394791,0.0891318322117582,0.1280416863199861,0.125087203652019
31,-0.1781992788333129,-0.16271779312795032,0.19091848622182594,0.14176317519979553,0.17547019101878322,0.10777417249317728
32,-0.159934873156174,-0.1895374994787402,0.14771446528078283,0.1862132785831557,0.1778734119489753,0.20468254585492818
33,-0.17704466960947254,-0.18680171379421026,0.1505093190373804,0.20868547340640492,0.16151865655901948,0.1659581644571749
34,-0.2420128054311368,-0.33358876770547363,0.23447441097755597,0.2741284767113013,0.274011948472564,0.3647299869293421
36,-0.1840502953323274,-0.20958495075580372,0.1469635729590871,0.14896089637628998,0.18659336683532407,0.18966041408841675
37,-0.16915831370756146,-0.22569053586441362,0.14675591027395185,0.14842601692542046,0.17313358836716333,0.2058406966661548
38,-0.19522888749839887,-0.22930803881779477,0.17847033272661458,0.20584627154358084,0.2523563470178599,0.29537019840319445
39,-0.21318489476401842,-0.2778352680329114,0.16840057106342446,0.18031304259941822,0.1959873357427083,0.24858507912043962
42,-0.1827122386336885,-0.18103074432744487,0.14605254369483528,0.1396434036167326,0.15972172999722245,0.21085889875485284
43,-0.09474497840899752,-0.0690696264248942,0.09436259424715841,0.07919672147705839,0.11162840420889457,0.1330206329087605
