subject,state,off,fix,n,off_frac
0,0,198.7940000000039,1098.191,5122,0.15327393917431836
0,1,53.06699999999892,293.286,1352,0.1532165160977358
1,0,335.5350000000012,1379.334,6406,0.1956621759446354
1,1,51.37099999999994,224.098,991,0.18648559366026649
2,0,427.07000000000124,2199.174,10324,0.16261626870922927
2,1,9.387999999999991,55.435,222,0.14482513922527485
3,0,594.9529999999987,1695.34,8730,0.25977156634544096
3,1,49.657000000000814,116.765,534,0.29838002187211166
4,0,280.61799999999886,1162.063,6223,0.19451146857829213
4,1,23.06800000000028,102.545,494,0.1836434127041009
5,0,276.878000000001,1405.268,6303,0.16459807888257072
5,1,20.36599999999823,102.183,432,0.16618658658984178
6,0,292.13000000000017,1667.781,8660,0.1490526865760742
6,1,16.46400000000329,105.656,505,0.1348182115951756
7,0,431.24000000000433,2032.764,10205,0.17501594964943382
7,1,15.52300000000011,58.865,290,0.2086761305586934
8,0,540.5609999999999,2043.037,11046,0.2092279836104533
8,1,3.1720000000003097,13.95,66,0.18525873145662028
9,0,245.53500000000008,1126.431,5150,0.17896580527505787
9,1,34.94399999999978,169.771,728,0.1706958454436647
10,0,356.3420000000011,1877.172,8830,0.1595432130714206
10,1,2.540999999999812,15.682,50,0.13943917027930847
11,0,542.1220000000005,1940.074,10966,0.2184041872599909
11,1,14.069999999998828,47.721,254,0.22770306355292996
12,0,190.31900000000104,1104.705,4265,0.14696175514894
12,1,29.914000000001913,157.023,587,0.16002182553481445
13,0,268.0419999999931,1691.02,7304,0.136821601358198
13,1,33.2560000000002,201.722,839,0.14152814306020212
14,0,409.64699999999794,1799.313,8900,0.18544790308561418
14,1,74.45500000000182,346.714,1659,0.17678176693916575
15,0,473.2469999999988,2467.062,9878,0.16095145102096378
15,1,28.68899999999934,139.949,561,0.17012179935719973
16,0,386.4129999999992,2478.594,9391,0.1348733179360467
16,1,73.75900000000084,436.022,1634,0.1446876207626426
17,0,223.10900000000044,957.004,5510,0.18905731908724024
17,1,40.177999999999685,173.93,897,0.18765296018831498
18,0,412.4980000000004,2087.596,9845,0.16499299626334063
18,1,36.00200000000068,168.966,765,0.17564693025252992
19,0,303.80600000000254,1451.041,6750,0.17312392476381253
19,1,10.003999999997731,41.477,185,0.19432411957806128
20,0,514.0100000000097,2880.245,14651,0.15143529286986634
20,1,7.775000000000688,42.672,218,0.1541221479969192
21,0,172.8029999999962,950.744,4264,0.1538013096025327
21,1,17.434999999998695,99.186,443,0.14950137625298093
22,0,404.853000000007,2090.253,10124,0.16225883790107748
22,1,19.220999999999535,103.078,461,0.15716399970563624
23,0,241.49399999999736,1461.764,6972,0.14178357007570064
23,1,41.68500000000172,291.47,1304,0.12512194023803186
24,0,281.99400000000276,1606.903,7493,0.1492903001063596
24,1,35.07700000000186,216.419,880,0.1394733912269046
25,0,217.42900000000515,1678.433,6819,0.11468609002132252
25,1,30.87500000000209,246.844,920,0.11117352431775232
26,0,246.33399999999966,1091.499,5585,0.18412911028506526
26,1,31.962000000001545,145.571,689,0.18003413449894537
27,0,336.11399999999793,2000.071,9220,0.14387302375453925
27,1,13.427000000000376,81.204,350,0.14188796483182387
28,0,294.0709999999959,1154.259,6318,0.20304143392734855
28,1,47.075999999999766,178.481,983,0.20870999348279953
29,0,597.1560000000003,1592.299,8986,0.27274184671527857
29,1,16.79800000000141,21.758,141,0.4356779748936818
30,0,249.2970000000154,1764.665,7925,0.12378436137326002
30,1,14.355999999998104,115.146,496,0.11085543080414445
31,0,407.72599999999915,2602.545,13329,0.13544494831196235
31,1,12.706000000000813,85.438,417,0.1294628301271673
32,0,199.2099999999989,1271.329,6187,0.1354673354463901
32,1,77.34800000000237,461.816,1960,0.1434591330281733
33,0,121.365,824.672,3289,0.1282877942406058
33,1,23.97500000000217,140.083,550,0.14613734167185907
34,0,481.9659999999949,3644.969,16423,0.11678545942691015
34,1,30.95000000000094,258.373,1122,0.10697386657818715
35,0,395.63900000000297,2672.55,11745,0.12894870557191965
35,1,0.6029999999994402,5.174,21,0.1043794356931796
36,0,608.1340000000021,2232.057,10842,0.2141172899991591
36,1,24.358000000002008,100.045,435,0.19579913667678123
37,0,555.2359999999971,2197.832,10252,0.2016789995742923
37,1,19.293999999997524,78.523,333,0.1972458775059347
38,0,339.1619999999989,1975.819,9921,0.1465074659360051
38,1,70.31800000000231,381.439,1871,0.15565447796050078
39,0,240.5750000000004,1240.772,6003,0.16240286712026308
39,1,28.917000000001018,151.55,704,0.16023428105969983
40,0,448.21700000000146,2234.925,9999,0.16704930264592824
40,1,2.9599999999997593,14.376,61,0.1707429626211237
41,0,295.56099999999867,2208.451,9263,0.11803497746815862
41,1,3.2230000000005674,39.915,129,0.07471370949048461
42,0,342.14999999999884,1954.246,9111,0.14899433721361605
42,1,19.731000000001075,99.875,468,0.16496664046954918
43,0,320.72100000000654,1394.305,7705,0.1870064943621877
43,1,12.76000000000117,43.523,240,0.2267114403994262
