subject,n_on,skiprate_on,zipf_on,length_on,surprisal_on,n_mw,skiprate_mw,zipf_mw,length_mw,surprisal_mw
0,4615,0.27150595882990247,0.5413624790093305,-0.594134339334556,-0.37035273053960893,1152,0.2421875,0.5071458777256361,-0.5739036897445056,-0.37294994576453466
1,6383,0.30784897383675386,0.3436759405485539,-0.4450447337229032,-0.27140525074351085,985,0.32284263959390863,0.38885274343960097,-0.44703120138044183,-0.3528194924755633
3,7052,0.24290981281905843,0.41619461458802465,-0.4862668353578351,-0.3203193405123942,373,0.17962466487935658,0.5277046141839821,-0.6261340357038337,-0.3976788124156545
4,7008,0.3359018264840183,0.4358155289079948,-0.48858447196827604,-0.36909008183630265,471,0.25902335456475584,0.3277514209216028,-0.43799614824557287,-0.2840579710144927
5,7517,0.3566582413196754,0.49819348791807316,-0.5385386673182513,-0.38796305320225244,394,0.2715736040609137,0.44690481617766786,-0.568823471946335,-0.3123308270676691
6,6063,0.14844136566056407,0.4544956635892139,-0.5147080723954635,-0.3614608001994266,348,0.10344827586206896,0.5570690883190883,-0.5126424501424501,-0.5028441410693971
7,8471,0.22087120764962814,0.32403956723839134,-0.36867450561197224,-0.2585620319827854,188,0.14893617021276595,0.19330357142857135,-0.3823660714285714,-0.06419753086419755
9,5465,0.33247941445562673,0.456120587482741,-0.5267516402108738,-0.3580163907739996,831,0.3285198555956679,0.4786062205417043,-0.5620216104087072,-0.31849867496255324
11,7530,0.22695883134130146,0.48132028171440777,-0.5563603220678865,-0.3606654162951486,205,0.2731707317073171,0.5331975071907957,-0.5034755512943432,-0.38477553675992193
12,4464,0.294578853046595,0.48988042555606404,-0.5284526320746401,-0.35311443178426394,526,0.2262357414448669,0.49681002622179093,-0.6039477215947804,-0.366754617414248
13,6610,0.24447806354009077,0.5409927556632315,-0.590250131841378,-0.413132565079948,715,0.1902097902097902,0.5805267702936097,-0.6156405567408311,-0.47887203467153283
14,6812,0.23649442160892542,0.49188995908846733,-0.5550805478247451,-0.3514227200096023,1210,0.23140495867768596,0.42547235023041474,-0.5098233486943164,-0.3681260504201681
15,7810,0.1820742637644046,0.3578917308913425,-0.42832299397516616,-0.28143187439188666,401,0.19201995012468828,0.3903719737053071,-0.505331088664422,-0.33381398702235043
16,7437,0.2055936533548474,0.5862544407755632,-0.6325052594103704,-0.45631705927434807,1203,0.19866999168744803,0.5252304727512631,-0.5242408722373653,-0.3598829030909022
17,5678,0.3263473053892216,0.5596244210942156,-0.6018746494820271,-0.4334687126098169,789,0.27629911280101394,0.6219733607545108,-0.6752518517328363,-0.44832695174088055
18,7451,0.2345993826332036,0.5192820752335978,-0.5694953196178012,-0.3866707691557808,458,0.17248908296943233,0.5767342440132259,-0.5857519788918206,-0.4167612991142403
19,7477,0.33783603049351346,0.5626647079622582,-0.5904137667110765,-0.4203626039839976,204,0.3137254901960784,0.5619419642857142,-0.6527901785714285,-0.39901234567901234
21,5438,0.3571165869805075,0.5495717335922532,-0.534608480016591,-0.4086988966026093,491,0.29327902240325865,0.5644412423951328,-0.586715497918668,-0.46052280608162177
22,8466,0.2124970470115757,0.5504963217653458,-0.6176619462523261,-0.46086019822999624,332,0.16566265060240964,0.5363308171972432,-0.5709222185756482,-0.4128245141154774
23,5457,0.2440901594282573,0.4413453453453453,-0.5356776776776777,-0.337707820841714,850,0.18588235294117647,0.38648752469451964,-0.5261944830613887,-0.38085179021038706
