subject,n,n_mw,intercept,zipf_c,length_c,order_z,is_mw,zipf_x_mw,length_x_mw,order_x_mw
25,7409,904,5.415231206984208,-0.013369901586462328,-0.0014682244991487973,-0.022282896321261406,0.08460554387067595,-0.015163701413407664,-0.0026438166626241186,-0.0054036945245304014
26,5981,692,5.219840067938599,-0.04382652706232621,-0.004307331986897787,-0.01888666771724005,0.07077832308044171,-0.007924136864234694,0.006223273351856242,0.017307234968778576
27,9044,342,5.31926501915425,-0.01303664730026382,0.0018110510577973914,-0.03415298604827795,0.07410723960152334,0.04753668242741011,0.024185515035041016,0.05268088404724056
28,6972,942,5.151866453125712,-0.022361033903771525,0.0049116326211227765,-0.010367022936422865,-0.008434085896810294,0.008572488202385781,0.005184466098888347,-0.004448632441385973
29,7969,119,5.15097238422957,-0.002812385997929393,0.0038427677218105883,-0.07251179664361844,-0.2577630108163559,0.01223425640886175,-0.0019993346567816137,-0.19173170246864693
30,8062,486,5.336701511365433,-0.015578987843322439,-0.004292352909029204,-0.0003159367835882472,0.049816441184488955,-0.015325388209101462,-0.0002860460529421263,0.016660698151876742
31,13011,395,5.195257685888133,-0.02266331511631603,-0.005453317980281178,-0.017357381493164833,0.058079225633617566,-0.014940012377042497,-0.021823169332480272,0.034426885071570094
32,7664,1847,5.2490045047492675,-0.01354847818469759,-0.0013694630710126814,-0.0038205314467830995,0.08296130143076941,0.0034189580432974734,-0.002621182262910984,0.029609502675144013
33,3726,560,5.437502787826159,-0.03588713395152546,0.0004903667695540872,0.003563698756441359,0.0029378495870554053,0.003540636992473754,-0.006726839782902471,0.00011616044203795328
34,16251,1062,5.302548954192529,-0.02799884649851243,-0.009762958342819397,-0.007816080973068174,0.049685434937925974,-0.018197902770242004,-0.006878365925790072,0.0059347362493278035
36,10391,401,5.260281283050066,-0.013589931614888332,-0.0017773018443229835,-0.04083850204156009,0.1308231942239272,-0.002648425068992257,0.02212037038503069,-0.05317270632344856
37,9949,331,5.290876527999713,-0.01280096642963523,0.001952126730776924,-0.01227999568942442,0.04394844923782955,-0.04464707506395937,-0.013123468469563816,-0.06943416616435154
38,11256,1803,5.206023979880131,-0.023504028306058074,-0.00484650471340794,-0.000908440488052397,0.007890006215109251,0.00548166819338554,6.997726486930424e-05,-0.0011592325750714215
39,6452,704,5.263610860573545,-0.03472816384749494,-0.0026152130308146238,-0.0128734619951519,0.03401099034173765,-0.009172767181729742,-0.007928524790331331,0.00770167131999438
40,9506,61,5.31683776426286,-0.01601219826770245,-0.0005700521794430694,-0.038740999964288834,-0.08416641474747857,-0.08603527512967625,-0.03369774215414014,-0.09104208620236094
41,8919,147,5.401784611837264,-0.015638370695058756,-0.0007114958105478628,-6.624582334873741e-05,0.127903591599977,0.02593998629293713,0.0016195518637430028,-0.03691277971095167
42,9059,454,5.307187766852256,-0.02145424617512559,-0.00195107877477209,-0.022131485801712262,-0.012626902241317024,0.02089401452259986,0.014793206423124285,0.012097918301432118
43,7594,234,5.137606039201141,-0.013284054248207066,-0.005026058346811925,-0.013970320986477193,0.03337918485550235,0.018618330010323616,0.020581725036202977,-0.058431093389375376
